City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
6,Busselton,AU,77.04,clear sky,-33.65,115.3333,Observatory Guest House
8,Mataura,NZ,56.73,light rain,-46.1927,168.8643,Ellie's Villa
11,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
12,Te Anau,NZ,57.42,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
17,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
18,Puerto Ayora,EC,73.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Port Alfred,ZA,68.45,few clouds,-33.5906,26.891,The Halyards Hotel
21,New Norfolk,AU,76.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
24,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
25,Rikitea,PF,76.98,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Massaguet,TD,64.18,broken clouds,12.4755,15.4365,Alwatane
28,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
30,Malpe,IN,74.5,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
31,Upington,ZA,79.18,few clouds,-28.4478,21.2561,River Place Manor
38,Salalah,OM,68.27,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
40,Punta Arenas,CL,51.91,clear sky,-53.15,-70.9167,Hotel Hain
41,Arraial Do Cabo,BR,74.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
42,Quatis,BR,70.21,overcast clouds,-22.4072,-44.2581,Hotel Colonial
43,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
45,Marsh Harbour,BS,60.06,broken clouds,26.5412,-77.0636,Abaco Beach Resort
47,Namibe,AO,70.57,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
51,Bluff,NZ,59.32,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
53,Codrington,AU,71.76,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
56,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
57,Victoria,HK,58.24,broken clouds,22.2855,114.1577,Mini Hotel Central
58,Meiktila,MM,58.62,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
60,Castro,BR,59.86,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
62,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
68,Lamar,US,57.11,clear sky,33.6668,-95.5836,Kings Inn Paris TX
71,Cidreira,BR,71.58,few clouds,-30.1811,-50.2056,Hotel Castelo
72,Aden,YE,75.94,light rain,12.7794,45.0367,Sama Emirate Hotel
74,Abu Dhabi,AE,66.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
76,Zeerust,ZA,67.01,light rain,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
77,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
79,Chuy,UY,65.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
80,Hilo,US,77.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
81,Vicuna,CL,68.4,clear sky,-30.0319,-70.7081,Los Mosaicos
83,Cururupu,BR,72.16,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
88,Coahuayana,MX,73.74,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
95,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
97,San Angelo,US,55.33,broken clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
100,Arrecife,ES,66.18,haze,28.963,-13.5477,Hotel Lancelot
103,Faya,SA,53.71,clear sky,18.3851,42.4509,املاك خالد الشعشوع
107,Ferrol,ES,50.27,overcast clouds,43.4832,-8.2369,Parador de Ferrol
110,Launceston,AU,76.15,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
111,Nishihara,JP,64.06,overcast clouds,26.1842,127.7558,Minshuku Agaihama
120,Hualmay,PE,70.27,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
123,Pemangkat,ID,78.1,overcast clouds,1.1667,108.9667,Ramah Kost KITA
125,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
128,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
129,Mogadishu,SO,76.68,few clouds,2.0371,45.3438,Hotel Juba
134,Vao,NC,79.72,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
138,Saint George,US,57.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
143,Fortuna,US,58.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
146,Bensonville,LR,75.6,broken clouds,6.4461,-10.6125,Moinga
147,Bengkulu,ID,77.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
149,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
