City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,77.02,67,0,21.0,clear sky
1,Saskylakh,RU,71.9167,114.0833,-19.82,100,100,3.78,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,44.26,87,100,4.61,light rain
3,Provideniya,RU,64.3833,-173.3,4.86,86,24,4.0,few clouds
4,Marshall,US,34.3834,-86.3333,31.48,51,0,1.14,clear sky
5,San Miguel,SV,13.4833,-88.1833,80.73,49,51,3.67,broken clouds
6,Busselton,AU,-33.65,115.3333,77.04,60,7,13.0,clear sky
7,Sisimiut,GL,66.9395,-53.6735,6.85,83,100,28.83,light snow
8,Mataura,NZ,-46.1927,168.8643,56.73,99,100,2.64,light rain
9,Kapaa,US,22.0752,-159.319,80.58,66,0,1.99,clear sky
10,Omsukchan,RU,62.5333,155.8,-4.14,97,100,5.75,overcast clouds
11,Port Lincoln,AU,-34.7333,135.8667,70.88,73,9,13.89,clear sky
12,Te Anau,NZ,-45.4167,167.7167,57.42,93,100,0.72,overcast clouds
13,Albany,US,42.6001,-73.9662,8.85,61,100,18.99,overcast clouds
14,Hamilton,US,39.1834,-84.5333,23.76,67,87,1.99,overcast clouds
15,Tarakan,ID,3.3,117.6333,80.1,89,75,5.75,broken clouds
16,Pilna,RU,55.5539,45.9219,14.92,97,100,5.14,overcast clouds
17,Kaeo,NZ,-35.1,173.7833,74.32,67,100,12.64,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,73.96,82,34,6.33,scattered clouds
19,Port Alfred,ZA,-33.5906,26.891,68.45,87,11,8.03,few clouds
20,Qaanaaq,GL,77.484,-69.3632,3.94,90,100,11.12,overcast clouds
21,New Norfolk,AU,-42.7826,147.0587,76.66,30,0,2.93,clear sky
22,Saint Pete Beach,US,27.7253,-82.7412,46.15,64,0,1.01,clear sky
23,Upernavik,GL,72.7868,-56.1549,-0.85,96,100,7.56,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,70.21,69,0,3.0,clear sky
25,Rikitea,PF,-23.1203,-134.9692,76.98,71,100,8.48,overcast clouds
26,Massaguet,TD,12.4755,15.4365,64.18,13,79,13.02,broken clouds
27,Manokwari,ID,-0.8667,134.0833,82.08,70,100,8.03,overcast clouds
28,Saint-Pierre,RE,-21.3393,55.4781,76.68,73,15,6.91,few clouds
29,Jamestown,US,42.097,-79.2353,7.92,85,0,6.91,clear sky
30,Malpe,IN,13.35,74.7167,74.5,68,3,5.39,clear sky
31,Upington,ZA,-28.4478,21.2561,79.18,38,20,4.61,few clouds
32,Havelock,US,34.8791,-76.9013,32.0,59,0,4.0,clear sky
33,Vaini,TO,-21.2,-175.2,81.77,76,100,11.88,light rain
34,Yerbogachen,RU,61.2767,108.0108,-10.57,99,100,3.18,overcast clouds
35,Narsaq,GL,60.9167,-46.05,14.36,94,100,12.17,light snow
36,Tessalit,ML,20.1986,1.0114,66.04,16,81,10.87,broken clouds
37,Bethel,US,41.3712,-73.414,18.48,61,100,5.99,overcast clouds
38,Salalah,OM,17.0151,54.0924,68.27,61,72,2.46,broken clouds
39,Longyearbyen,SJ,78.2186,15.6401,6.64,66,0,16.11,clear sky
